#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
246.59	1.6000	0.051868	6.7103	6.8609	37.005	1061.0	0.00094251	6.1177	6.1840	34.261	41.331	92.449	757.54	0.025387	155.17	0.14060	41.662	0.024002	17.543	19.233	87.179	32.186	52.194	221.94	18.642	12.513	0.014463
248.59	1.7068	0.055246	6.9195	7.0801	37.850	1052.2	0.00095036	6.2980	6.3694	34.991	41.259	93.236	742.48	0.043531	150.27	0.13822	44.527	0.022458	17.548	19.235	86.745	32.557	53.468	221.53	18.265	12.637	0.014762
250.59	1.8187	0.058806	7.1305	7.3016	38.696	1043.3	0.00095848	6.4794	6.5561	35.721	41.194	94.092	727.26	0.062992	145.54	0.13584	47.560	0.021026	17.551	19.234	86.310	32.943	54.837	221.07	17.897	12.764	0.015075
252.59	1.9360	0.062557	7.3432	7.5254	39.541	1034.2	0.00096691	6.6620	6.7444	36.449	41.136	95.021	711.86	0.083902	140.94	0.13347	50.770	0.019697	17.551	19.229	85.876	33.342	56.311	220.56	17.538	12.895	0.015405
254.59	2.0586	0.066512	7.5579	7.7516	40.388	1025.0	0.00097565	6.8460	6.9343	37.178	41.088	96.033	696.23	0.10641	136.49	0.13110	54.171	0.018460	17.549	19.222	85.441	33.757	57.904	219.99	17.188	13.029	0.015754
256.59	2.1869	0.070682	7.7744	7.9802	41.235	1015.5	0.00098474	7.0313	7.1260	37.906	41.052	97.137	680.35	0.13067	132.16	0.12874	57.773	0.017309	17.545	19.211	85.004	34.187	59.627	219.37	16.845	13.168	0.016122
258.59	2.3209	0.075081	7.9929	8.2114	42.083	1005.8	0.00099421	7.2181	7.3196	38.635	41.032	98.341	664.17	0.15689	127.96	0.12637	61.591	0.016236	17.538	19.197	84.565	34.633	61.498	218.70	16.509	13.311	0.016514
260.59	2.4608	0.079724	8.2135	8.4451	42.933	995.93	0.0010041	7.4065	7.5152	39.365	41.031	99.661	647.66	0.18527	123.87	0.12401	65.641	0.015234	17.529	19.179	84.123	35.093	63.533	217.96	16.180	13.460	0.016931
262.59	2.6068	0.084627	8.4362	8.6815	43.784	985.80	0.0010144	7.5967	7.7130	40.096	41.051	101.11	630.82	0.21605	119.89	0.12165	69.939	0.014298	17.517	19.157	83.677	35.569	65.756	217.17	15.857	13.615	0.017377
264.59	2.7591	0.089811	8.6610	8.9207	44.637	975.41	0.0010252	7.7887	7.9132	40.830	41.096	102.71	613.62	0.24953	116.01	0.11929	74.505	0.013422	17.501	19.131	83.226	36.061	68.194	216.33	15.540	13.776	0.017855
266.59	2.9177	0.095296	8.8881	9.1627	45.492	964.73	0.0010366	7.9829	8.1160	41.566	41.168	104.48	596.08	0.28603	112.23	0.11692	79.360	0.012601	17.482	19.100	82.769	36.570	70.883	215.43	15.227	13.944	0.018371
268.59	3.0830	0.10111	9.1176	9.4078	46.350	953.76	0.0010485	8.1793	8.3215	42.306	41.266	106.45	578.22	0.32596	108.54	0.11455	84.530	0.011830	17.460	19.065	82.304	37.098	73.864	214.46	14.919	14.121	0.018930
270.59	3.2550	0.10727	9.3495	9.6559	47.210	942.44	0.0010611	8.3782	8.5302	43.050	41.391	108.66	560.06	0.36980	104.92	0.11219	90.043	0.011106	17.433	19.024	81.831	37.647	77.193	213.44	14.614	14.307	0.019538
272.59	3.4339	0.11382	9.5840	9.9072	48.073	930.76	0.0010744	8.5798	8.7422	43.800	41.540	111.14	541.63	0.41812	101.38	0.10981	95.932	0.010424	17.402	18.978	81.348	38.221	80.937	212.36	14.311	14.504	0.020203
274.59	3.6201	0.12080	9.8211	10.162	48.940	918.68	0.0010885	8.7845	8.9579	44.556	41.712	113.95	522.97	0.47162	97.899	0.10743	102.24	0.0097813	17.367	18.925	80.853	38.822	85.185	211.20	14.009	14.713	0.020936
276.59	3.8135	0.12824	10.061	10.420	49.811	906.14	0.0011036	8.9925	9.1777	45.319	41.904	117.17	504.11	0.53114	94.478	0.10505	109.00	0.0091744	17.325	18.865	80.344	39.456	90.048	209.98	13.706	14.936	0.021748
278.59	4.0146	0.13621	10.304	10.682	50.686	893.10	0.0011197	9.2044	9.4022	46.093	42.113	120.88	485.06	0.59775	91.105	0.10266	116.28	0.0086002	17.278	18.798	79.819	40.128	95.677	208.68	13.402	15.176	0.022654
280.59	4.2234	0.14476	10.550	10.948	51.567	879.49	0.0011370	9.4205	9.6318	46.877	42.338	125.20	465.83	0.67275	87.770	0.10026	124.13	0.0080558	17.225	18.722	79.274	40.846	102.27	207.30	13.093	15.434	0.023675
282.59	4.4402	0.15398	10.800	11.218	52.453	865.23	0.0011558	9.6416	9.8674	47.675	42.580	130.32	446.42	0.75778	84.461	0.097856	132.65	0.0075386	17.164	18.637	78.706	41.616	110.11	205.83	12.778	15.715	0.024835
284.59	4.6653	0.16396	11.053	11.492	53.346	850.21	0.0011762	9.8683	10.110	48.489	42.843	136.48	426.79	0.85495	81.166	0.095444	141.93	0.0070459	17.094	18.540	78.112	42.450	119.58	204.27	12.455	16.024	0.026167
286.59	4.8990	0.17483	11.310	11.771	54.247	834.31	0.0011986	10.102	10.360	49.323	43.134	144.04	406.88	0.96704	77.869	0.093029	152.09	0.0065750	17.014	18.431	77.485	43.362	131.27	202.60	12.119	16.366	0.027716
288.59	5.1415	0.18677	11.572	12.056	55.157	817.36	0.0012235	10.343	10.620	50.182	43.465	153.51	386.57	1.0977	74.552	0.090619	163.31	0.0061233	16.922	18.307	76.818	44.372	146.06	200.80	11.768	16.748	0.029546
290.59	5.3932	0.19998	11.839	12.346	56.078	799.12	0.0012514	10.595	10.892	51.072	43.858	165.73	365.69	1.2523	71.190	0.088230	175.81	0.0056878	16.815	18.165	76.101	45.505	165.36	198.85	11.396	17.183	0.031746
292.59	5.6544	0.21479	12.111	12.643	57.012	779.27	0.0012833	10.859	11.178	52.003	44.349	182.06	343.93	1.4383	67.751	0.085897	189.92	0.0052654	16.690	18.001	75.322	46.803	191.59	196.73	10.995	17.686	0.034454
294.59	5.9256	0.23168	12.390	12.948	57.962	757.35	0.0013204	11.138	11.482	52.987	45.009	205.06	320.84	1.6680	64.193	0.083695	206.11	0.0048519	16.542	17.808	74.459	48.329	229.26	194.36	10.555	18.282	0.037892
