#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
703.50	115.30	undefined	14.043	21.714	74.271	30.300	0.033003	14.043	21.714	74.271	21.843	29.795	2591.0	-0.55628	17.807	0.39950	30.300	0.033003	14.043	21.714	74.271	21.843	29.795	2591.0	-0.55628	17.807	0.39950
705.14	115.56	undefined	14.079	21.767	74.322	30.300	0.033003	14.079	21.767	74.322	21.846	29.796	2593.7	-0.55628	17.836	0.40016	30.300	0.033003	14.079	21.767	74.322	21.846	29.796	2593.7	-0.55628	17.836	0.40016
706.78	115.82	undefined	14.115	21.821	74.373	30.300	0.033003	14.115	21.821	74.373	21.848	29.797	2596.4	-0.55628	17.866	0.40081	30.300	0.033003	14.115	21.821	74.373	21.848	29.797	2596.4	-0.55628	17.866	0.40081
708.42	116.08	undefined	14.151	21.874	74.424	30.300	0.033003	14.151	21.874	74.424	21.850	29.798	2599.1	-0.55628	17.895	0.40147	30.300	0.033003	14.151	21.874	74.424	21.850	29.798	2599.1	-0.55628	17.895	0.40147
710.07	116.34	undefined	14.187	21.927	74.474	30.300	0.033003	14.187	21.927	74.474	21.853	29.799	2601.8	-0.55628	17.924	0.40213	30.300	0.033003	14.187	21.927	74.474	21.853	29.799	2601.8	-0.55628	17.924	0.40213
711.71	116.60	undefined	14.223	21.980	74.525	30.300	0.033003	14.223	21.980	74.525	21.855	29.800	2604.5	-0.55627	17.953	0.40278	30.300	0.033003	14.223	21.980	74.525	21.855	29.800	2604.5	-0.55627	17.953	0.40278
713.35	116.86	undefined	14.259	22.034	74.575	30.300	0.033003	14.259	22.034	74.575	21.858	29.801	2607.2	-0.55627	17.983	0.40344	30.300	0.033003	14.259	22.034	74.575	21.858	29.801	2607.2	-0.55627	17.983	0.40344
714.99	117.13	undefined	14.294	22.087	74.625	30.300	0.033003	14.294	22.087	74.625	21.860	29.802	2609.9	-0.55627	18.012	0.40410	30.300	0.033003	14.294	22.087	74.625	21.860	29.802	2609.9	-0.55627	18.012	0.40410
716.63	117.39	undefined	14.330	22.140	74.675	30.300	0.033003	14.330	22.140	74.675	21.863	29.803	2612.6	-0.55626	18.041	0.40475	30.300	0.033003	14.330	22.140	74.675	21.863	29.803	2612.6	-0.55626	18.041	0.40475
718.27	117.65	undefined	14.366	22.193	74.725	30.300	0.033003	14.366	22.193	74.725	21.866	29.804	2615.2	-0.55625	18.070	0.40541	30.300	0.033003	14.366	22.193	74.725	21.866	29.804	2615.2	-0.55625	18.070	0.40541
719.92	117.91	undefined	14.402	22.247	74.775	30.300	0.033003	14.402	22.247	74.775	21.868	29.805	2617.9	-0.55624	18.099	0.40607	30.300	0.033003	14.402	22.247	74.775	21.868	29.805	2617.9	-0.55624	18.099	0.40607
721.56	118.17	undefined	14.438	22.300	74.825	30.300	0.033003	14.438	22.300	74.825	21.871	29.807	2620.6	-0.55623	18.129	0.40672	30.300	0.033003	14.438	22.300	74.825	21.871	29.807	2620.6	-0.55623	18.129	0.40672
723.20	118.43	undefined	14.474	22.353	74.875	30.300	0.033003	14.474	22.353	74.875	21.873	29.808	2623.2	-0.55622	18.158	0.40738	30.300	0.033003	14.474	22.353	74.875	21.873	29.808	2623.2	-0.55622	18.158	0.40738
724.84	118.69	undefined	14.510	22.406	74.925	30.300	0.033003	14.510	22.406	74.925	21.876	29.809	2625.9	-0.55621	18.187	0.40804	30.300	0.033003	14.510	22.406	74.925	21.876	29.809	2625.9	-0.55621	18.187	0.40804
726.48	118.95	undefined	14.546	22.460	74.974	30.300	0.033003	14.546	22.460	74.974	21.879	29.810	2628.6	-0.55620	18.216	0.40870	30.300	0.033003	14.546	22.460	74.974	21.879	29.810	2628.6	-0.55620	18.216	0.40870
728.12	119.21	undefined	14.582	22.513	75.023	30.300	0.033003	14.582	22.513	75.023	21.881	29.812	2631.2	-0.55618	18.245	0.40935	30.300	0.033003	14.582	22.513	75.023	21.881	29.812	2631.2	-0.55618	18.245	0.40935
729.77	119.47	undefined	14.618	22.566	75.073	30.300	0.033003	14.618	22.566	75.073	21.884	29.813	2633.9	-0.55617	18.274	0.41001	30.300	0.033003	14.618	22.566	75.073	21.884	29.813	2633.9	-0.55617	18.274	0.41001
731.41	119.73	undefined	14.654	22.619	75.122	30.300	0.033003	14.654	22.619	75.122	21.887	29.814	2636.5	-0.55615	18.304	0.41067	30.300	0.033003	14.654	22.619	75.122	21.887	29.814	2636.5	-0.55615	18.304	0.41067
733.05	119.99	undefined	14.689	22.673	75.171	30.300	0.033003	14.689	22.673	75.171	21.889	29.816	2639.1	-0.55614	18.333	0.41133	30.300	0.033003	14.689	22.673	75.171	21.889	29.816	2639.1	-0.55614	18.333	0.41133
734.69	120.25	undefined	14.725	22.726	75.220	30.300	0.033003	14.725	22.726	75.220	21.892	29.817	2641.8	-0.55612	18.362	0.41198	30.300	0.033003	14.725	22.726	75.220	21.892	29.817	2641.8	-0.55612	18.362	0.41198
736.33	120.51	undefined	14.761	22.779	75.269	30.300	0.033003	14.761	22.779	75.269	21.895	29.818	2644.4	-0.55610	18.391	0.41264	30.300	0.033003	14.761	22.779	75.269	21.895	29.818	2644.4	-0.55610	18.391	0.41264
737.97	120.77	undefined	14.797	22.833	75.318	30.300	0.033003	14.797	22.833	75.318	21.898	29.820	2647.0	-0.55608	18.420	0.41330	30.300	0.033003	14.797	22.833	75.318	21.898	29.820	2647.0	-0.55608	18.420	0.41330
