#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
314.00	37.108	undefined	2.0605	4.8179	101.82	537.60	0.0018601	2.0605	4.8179	101.82	14.058	31.826	456.33	0.54223	39.774	0.037836	537.60	0.0018601	2.0605	4.8179	101.82	14.058	31.826	456.33	0.54223	39.774	0.037836
316.00	37.496	undefined	2.0886	4.8748	101.91	537.60	0.0018601	2.0886	4.8748	101.91	14.049	31.693	458.32	0.52586	39.901	0.037951	537.60	0.0018601	2.0886	4.8748	101.91	14.049	31.693	458.32	0.52586	39.901	0.037951
318.00	37.884	undefined	2.1167	4.9317	102.00	537.60	0.0018601	2.1167	4.9317	102.00	14.040	31.562	460.29	0.50977	40.028	0.038065	537.60	0.0018601	2.1167	4.9317	102.00	14.040	31.562	460.29	0.50977	40.028	0.038065
320.00	38.271	undefined	2.1447	4.9886	102.08	537.60	0.0018601	2.1447	4.9886	102.08	14.032	31.435	462.25	0.49394	40.154	0.038179	537.60	0.0018601	2.1447	4.9886	102.08	14.032	31.435	462.25	0.49394	40.154	0.038179
322.00	38.658	undefined	2.1728	5.0454	102.17	537.60	0.0018601	2.1728	5.0454	102.17	14.024	31.311	464.21	0.47838	40.279	0.038293	537.60	0.0018601	2.1728	5.0454	102.17	14.024	31.311	464.21	0.47838	40.279	0.038293
324.00	39.046	undefined	2.2008	5.1022	102.26	537.60	0.0018601	2.2008	5.1022	102.26	14.016	31.190	466.14	0.46307	40.405	0.038406	537.60	0.0018601	2.2008	5.1022	102.26	14.016	31.190	466.14	0.46307	40.405	0.038406
326.00	39.433	undefined	2.2288	5.1590	102.34	537.60	0.0018601	2.2288	5.1590	102.34	14.008	31.072	468.07	0.44800	40.530	0.038519	537.60	0.0018601	2.2288	5.1590	102.34	14.008	31.072	468.07	0.44800	40.530	0.038519
328.00	39.819	undefined	2.2569	5.2157	102.43	537.60	0.0018601	2.2569	5.2157	102.43	14.001	30.956	469.99	0.43318	40.654	0.038631	537.60	0.0018601	2.2569	5.2157	102.43	14.001	30.956	469.99	0.43318	40.654	0.038631
330.00	40.206	undefined	2.2848	5.2725	102.51	537.60	0.0018601	2.2848	5.2725	102.51	13.993	30.843	471.90	0.41859	40.779	0.038744	537.60	0.0018601	2.2848	5.2725	102.51	13.993	30.843	471.90	0.41859	40.779	0.038744
332.00	40.592	undefined	2.3128	5.3291	102.60	537.60	0.0018601	2.3128	5.3291	102.60	13.986	30.732	473.79	0.40424	40.903	0.038855	537.60	0.0018601	2.3128	5.3291	102.60	13.986	30.732	473.79	0.40424	40.903	0.038855
334.00	40.978	undefined	2.3408	5.3858	102.68	537.60	0.0018601	2.3408	5.3858	102.68	13.979	30.624	475.68	0.39011	41.026	0.038967	537.60	0.0018601	2.3408	5.3858	102.68	13.979	30.624	475.68	0.39011	41.026	0.038967
336.00	41.364	undefined	2.3687	5.4424	102.77	537.60	0.0018601	2.3687	5.4424	102.77	13.972	30.518	477.55	0.37619	41.150	0.039078	537.60	0.0018601	2.3687	5.4424	102.77	13.972	30.518	477.55	0.37619	41.150	0.039078
338.00	41.749	undefined	2.3967	5.4990	102.85	537.60	0.0018601	2.3967	5.4990	102.85	13.965	30.414	479.41	0.36250	41.273	0.039189	537.60	0.0018601	2.3967	5.4990	102.85	13.965	30.414	479.41	0.36250	41.273	0.039189
340.00	42.135	undefined	2.4246	5.5556	102.93	537.60	0.0018601	2.4246	5.5556	102.93	13.959	30.313	481.27	0.34901	41.395	0.039299	537.60	0.0018601	2.4246	5.5556	102.93	13.959	30.313	481.27	0.34901	41.395	0.039299
342.00	42.520	undefined	2.4525	5.6121	103.01	537.60	0.0018601	2.4525	5.6121	103.01	13.953	30.214	483.11	0.33573	41.518	0.039410	537.60	0.0018601	2.4525	5.6121	103.01	13.953	30.214	483.11	0.33573	41.518	0.039410
344.00	42.905	undefined	2.4804	5.6686	103.09	537.60	0.0018601	2.4804	5.6686	103.09	13.946	30.117	484.94	0.32265	41.640	0.039519	537.60	0.0018601	2.4804	5.6686	103.09	13.946	30.117	484.94	0.32265	41.640	0.039519
346.00	43.290	undefined	2.5083	5.7251	103.18	537.60	0.0018601	2.5083	5.7251	103.18	13.940	30.022	486.77	0.30977	41.761	0.039629	537.60	0.0018601	2.5083	5.7251	103.18	13.940	30.022	486.77	0.30977	41.761	0.039629
348.00	43.674	undefined	2.5362	5.7815	103.26	537.60	0.0018601	2.5362	5.7815	103.26	13.934	29.928	488.58	0.29708	41.883	0.039738	537.60	0.0018601	2.5362	5.7815	103.26	13.934	29.928	488.58	0.29708	41.883	0.039738
350.00	44.059	undefined	2.5640	5.8380	103.34	537.60	0.0018601	2.5640	5.8380	103.34	13.928	29.837	490.39	0.28458	42.004	0.039847	537.60	0.0018601	2.5640	5.8380	103.34	13.928	29.837	490.39	0.28458	42.004	0.039847
352.00	44.443	undefined	2.5919	5.8944	103.42	537.60	0.0018601	2.5919	5.8944	103.42	13.923	29.747	492.18	0.27226	42.124	0.039955	537.60	0.0018601	2.5919	5.8944	103.42	13.923	29.747	492.18	0.27226	42.124	0.039955
354.00	44.827	undefined	2.6197	5.9507	103.49	537.60	0.0018601	2.6197	5.9507	103.49	13.917	29.660	493.97	0.26012	42.245	0.040063	537.60	0.0018601	2.6197	5.9507	103.49	13.917	29.660	493.97	0.26012	42.245	0.040063
356.00	45.211	undefined	2.6476	6.0071	103.57	537.60	0.0018601	2.6476	6.0071	103.57	13.912	29.574	495.75	0.24816	42.365	0.040171	537.60	0.0018601	2.6476	6.0071	103.57	13.912	29.574	495.75	0.24816	42.365	0.040171
358.00	45.594	undefined	2.6754	6.0634	103.65	537.60	0.0018601	2.6754	6.0634	103.65	13.906	29.489	497.52	0.23636	42.485	0.040279	537.60	0.0018601	2.6754	6.0634	103.65	13.906	29.489	497.52	0.23636	42.485	0.040279
360.00	45.978	undefined	2.7032	6.1197	103.73	537.60	0.0018601	2.7032	6.1197	103.73	13.901	29.407	499.28	0.22474	42.604	0.040386	537.60	0.0018601	2.7032	6.1197	103.73	13.901	29.407	499.28	0.22474	42.604	0.040386
362.00	46.361	undefined	2.7310	6.1760	103.80	537.60	0.0018601	2.7310	6.1760	103.80	13.896	29.325	501.03	0.21328	42.723	0.040493	537.60	0.0018601	2.7310	6.1760	103.80	13.896	29.325	501.03	0.21328	42.723	0.040493
364.00	46.744	undefined	2.7588	6.2322	103.88	537.60	0.0018601	2.7588	6.2322	103.88	13.891	29.246	502.77	0.20199	42.842	0.040600	537.60	0.0018601	2.7588	6.2322	103.88	13.891	29.246	502.77	0.20199	42.842	0.040600
366.00	47.126	undefined	2.7865	6.2884	103.96	537.60	0.0018601	2.7865	6.2884	103.96	13.886	29.168	504.51	0.19085	42.961	0.040706	537.60	0.0018601	2.7865	6.2884	103.96	13.886	29.168	504.51	0.19085	42.961	0.040706
368.00	47.509	undefined	2.8143	6.3446	104.03	537.60	0.0018601	2.8143	6.3446	104.03	13.881	29.091	506.23	0.17986	43.079	0.040812	537.60	0.0018601	2.8143	6.3446	104.03	13.881	29.091	506.23	0.17986	43.079	0.040812
370.00	47.891	undefined	2.8421	6.4008	104.11	537.60	0.0018601	2.8421	6.4008	104.11	13.876	29.016	507.95	0.16903	43.197	0.040918	537.60	0.0018601	2.8421	6.4008	104.11	13.876	29.016	507.95	0.16903	43.197	0.040918
372.00	48.273	undefined	2.8698	6.4569	104.18	537.60	0.0018601	2.8698	6.4569	104.18	13.872	28.942	509.66	0.15835	43.315	0.041023	537.60	0.0018601	2.8698	6.4569	104.18	13.872	28.942	509.66	0.15835	43.315	0.041023
374.00	48.655	undefined	2.8976	6.5130	104.26	537.60	0.0018601	2.8976	6.5130	104.26	13.867	28.869	511.37	0.14781	43.433	0.041128	537.60	0.0018601	2.8976	6.5130	104.26	13.867	28.869	511.37	0.14781	43.433	0.041128
376.00	49.037	undefined	2.9253	6.5691	104.33	537.60	0.0018601	2.9253	6.5691	104.33	13.863	28.798	513.06	0.13742	43.550	0.041233	537.60	0.0018601	2.9253	6.5691	104.33	13.863	28.798	513.06	0.13742	43.550	0.041233
378.00	49.419	undefined	2.9530	6.6252	104.40	537.60	0.0018601	2.9530	6.6252	104.40	13.858	28.728	514.75	0.12716	43.667	0.041338	537.60	0.0018601	2.9530	6.6252	104.40	13.858	28.728	514.75	0.12716	43.667	0.041338
380.00	49.800	undefined	2.9807	6.6813	104.48	537.60	0.0018601	2.9807	6.6813	104.48	13.854	28.659	516.43	0.11705	43.783	0.041442	537.60	0.0018601	2.9807	6.6813	104.48	13.854	28.659	516.43	0.11705	43.783	0.041442
382.00	50.181	undefined	3.0084	6.7373	104.55	537.60	0.0018601	3.0084	6.7373	104.55	13.850	28.591	518.10	0.10706	43.899	0.041546	537.60	0.0018601	3.0084	6.7373	104.55	13.850	28.591	518.10	0.10706	43.899	0.041546
384.00	50.562	undefined	3.0361	6.7933	104.62	537.60	0.0018601	3.0361	6.7933	104.62	13.846	28.525	519.76	0.097214	44.016	0.041650	537.60	0.0018601	3.0361	6.7933	104.62	13.846	28.525	519.76	0.097214	44.016	0.041650
386.00	50.943	undefined	3.0638	6.8493	104.69	537.60	0.0018601	3.0638	6.8493	104.69	13.842	28.459	521.42	0.087492	44.131	0.041753	537.60	0.0018601	3.0638	6.8493	104.69	13.842	28.459	521.42	0.087492	44.131	0.041753
388.00	51.324	undefined	3.0915	6.9052	104.77	537.60	0.0018601	3.0915	6.9052	104.77	13.838	28.395	523.07	0.077897	44.247	0.041856	537.60	0.0018601	3.0915	6.9052	104.77	13.838	28.395	523.07	0.077897	44.247	0.041856
390.00	51.704	undefined	3.1192	6.9612	104.84	537.60	0.0018601	3.1192	6.9612	104.84	13.834	28.332	524.71	0.068427	44.362	0.041959	537.60	0.0018601	3.1192	6.9612	104.84	13.834	28.332	524.71	0.068427	44.362	0.041959
392.00	52.084	undefined	3.1468	7.0171	104.91	537.60	0.0018601	3.1468	7.0171	104.91	13.830	28.270	526.34	0.059079	44.477	0.042061	537.60	0.0018601	3.1468	7.0171	104.91	13.830	28.270	526.34	0.059079	44.477	0.042061
394.00	52.464	undefined	3.1745	7.0730	104.98	537.60	0.0018601	3.1745	7.0730	104.98	13.826	28.209	527.97	0.049850	44.592	0.042164	537.60	0.0018601	3.1745	7.0730	104.98	13.826	28.209	527.97	0.049850	44.592	0.042164
396.00	52.844	undefined	3.2021	7.1289	105.05	537.60	0.0018601	3.2021	7.1289	105.05	13.823	28.148	529.59	0.040739	44.706	0.042266	537.60	0.0018601	3.2021	7.1289	105.05	13.823	28.148	529.59	0.040739	44.706	0.042266
398.00	53.224	undefined	3.2298	7.1847	105.12	537.60	0.0018601	3.2298	7.1847	105.12	13.819	28.089	531.21	0.031743	44.820	0.042367	537.60	0.0018601	3.2298	7.1847	105.12	13.819	28.089	531.21	0.031743	44.820	0.042367
400.00	53.603	undefined	3.2574	7.2405	105.19	537.60	0.0018601	3.2574	7.2405	105.19	13.815	28.031	532.82	0.022860	44.934	0.042469	537.60	0.0018601	3.2574	7.2405	105.19	13.815	28.031	532.82	0.022860	44.934	0.042469


