#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
113.00	1.7371	596.85	0.0016755	-1.2086	-1.1271	102.85	27.149	83.966	433.19	0.52741	50.740	0.074544	0.0017383	76.307	0.013105	1.7102	2.3479	133.60	26.924	67.435	179.15	13.996	9.0860	0.015315
113.50	1.7856	592.47	0.0016879	-1.1714	-1.0869	103.19	27.176	85.471	425.70	0.56683	49.876	0.073564	0.0016566	78.897	0.012675	1.7019	2.3359	133.34	27.107	69.529	178.83	13.854	9.1702	0.015607
114.00	1.8351	587.98	0.0017007	-1.1337	-1.0463	103.52	27.208	87.097	418.12	0.60855	49.014	0.072583	0.0015757	81.587	0.012257	1.6929	2.3230	133.08	27.300	71.806	178.49	13.709	9.2570	0.015913
114.50	1.8856	583.40	0.0017141	-1.0957	-1.0051	103.86	27.245	88.858	410.45	0.65278	48.152	0.071604	0.0014956	84.384	0.011851	1.6833	2.3093	132.81	27.505	74.291	178.13	13.561	9.3467	0.016237
115.00	1.9370	578.70	0.0017280	-1.0571	-0.96336	104.20	27.290	90.771	402.67	0.69974	47.290	0.070626	0.0014163	87.294	0.011456	1.6730	2.2946	132.53	27.721	77.010	177.75	13.409	9.4395	0.016580
115.50	1.9895	573.89	0.0017425	-1.0181	-0.92095	104.55	27.341	92.858	394.79	0.74970	46.428	0.069649	0.0013379	90.326	0.011071	1.6619	2.2789	132.25	27.950	79.997	177.35	13.255	9.5356	0.016944
116.00	2.0431	568.96	0.0017576	-0.97846	-0.87787	104.90	27.400	95.144	386.80	0.80295	45.563	0.068673	0.0012604	93.489	0.010696	1.6500	2.2622	131.97	28.193	83.292	176.93	13.096	9.6354	0.017331
116.50	2.0976	563.88	0.0017734	-0.93826	-0.83405	105.25	27.467	97.658	378.68	0.85984	44.696	0.067699	0.0011838	96.792	0.010331	1.6372	2.2443	131.68	28.451	86.941	176.48	12.934	9.7392	0.017744
117.00	2.1533	558.66	0.0017900	-0.89741	-0.78944	105.61	27.545	100.44	370.43	0.92076	43.824	0.066728	0.0011082	100.25	0.0099753	1.6234	2.2251	131.38	28.723	91.003	176.01	12.767	9.8474	0.018186
117.50	2.2100	553.28	0.0018074	-0.85587	-0.74398	105.97	27.633	103.53	362.04	0.98619	42.948	0.065760	0.0010336	103.87	0.0096275	1.6086	2.2047	131.07	29.013	95.550	175.52	12.595	9.9606	0.018660
118.00	2.2678	547.73	0.0018257	-0.81357	-0.69758	106.34	27.734	106.99	353.49	1.0566	42.064	0.064795	0.00096006	107.67	0.0092875	1.5927	2.1828	130.75	29.320	100.67	175.00	12.418	10.079	0.019172
118.50	2.3268	541.98	0.0018451	-0.77042	-0.65016	106.72	27.849	110.89	344.77	1.1328	41.172	0.063836	0.00088760	111.67	0.0089549	1.5756	2.1593	130.43	29.647	106.48	174.45	12.235	10.204	0.019726
119.00	2.3869	536.02	0.0018656	-0.72635	-0.60161	107.10	27.981	115.31	335.85	1.2154	40.270	0.062883	0.00081630	115.89	0.0086288	1.5572	2.1341	130.09	29.997	113.12	173.87	12.045	10.336	0.020329
119.50	2.4481	529.82	0.0018874	-0.68125	-0.55181	107.49	28.133	120.39	326.71	1.3053	39.355	0.061939	0.00074620	120.35	0.0083089	1.5372	2.1070	129.74	30.371	120.79	173.26	11.848	10.475	0.020989
120.00	2.5106	523.36	0.0019107	-0.63498	-0.50060	107.89	28.310	126.27	317.33	1.4037	38.425	0.061006	0.00067738	125.09	0.0079943	1.5156	2.0778	129.38	30.773	129.73	172.61	11.643	10.624	0.021715
120.50	2.5742	516.59	0.0019358	-0.58741	-0.44781	108.30	28.515	133.18	307.67	1.5119	37.478	0.060090	0.00060992	130.13	0.0076845	1.4921	2.0462	129.00	31.209	140.29	171.92	11.428	10.782	0.022521
121.00	2.6391	509.48	0.0019628	-0.53833	-0.39322	108.73	28.755	141.40	297.68	1.6317	36.509	0.059196	0.00054390	135.53	0.0073785	1.4665	2.0119	128.60	31.683	152.95	171.17	11.203	10.953	0.023424
121.50	2.7053	501.96	0.0019922	-0.48751	-0.33653	109.16	29.041	151.38	287.33	1.7652	35.515	0.058334	0.00047943	141.33	0.0070754	1.4383	1.9745	128.18	32.204	168.39	170.37	10.965	11.138	0.024445
122.00	2.7727	493.97	0.0020244	-0.43464	-0.27739	109.62	29.383	163.75	276.54	1.9152	34.489	0.057518	0.00041663	147.62	0.0067741	1.4073	1.9335	127.74	32.784	187.64	169.49	10.711	11.340	0.025616
122.50	2.8415	485.41	0.0020601	-0.37930	-0.21531	110.09	29.800	179.50	265.24	2.0855	33.424	0.056769	0.00035565	154.48	0.0064733	1.3729	1.8882	127.26	33.436	212.28	168.53	10.441	11.563	0.026980
123.00	2.9116	476.14	0.0021002	-0.32093	-0.14962	110.59	30.317	200.28	253.32	2.2811	32.310	0.056121	0.00029667	162.05	0.0061711	1.3343	1.8376	126.75	34.185	244.90	167.43	10.148	11.813	0.028604
123.50	2.9832	465.99	0.0021460	-0.25871	-0.079372	111.13	30.971	228.97	240.64	2.5091	31.134	0.055626	0.00023993	170.50	0.0058651	1.2903	1.7805	126.19	35.062	290.08	166.17	9.8287	12.096	0.030589
124.00	3.0562	454.65	0.0021995	-0.19140	-0.0030925	111.71	31.826	271.20	227.00	2.7802	29.873	0.055372	0.00018574	180.13	0.0055515	1.2395	1.7147	125.56	36.125	356.63	164.67	9.4745	12.426	0.033113
124.50	3.1307	441.64	0.0022643	-0.11695	0.081634	112.35	32.991	339.48	212.11	3.1110	28.495	0.055521	0.00013452	191.40	0.0052247	1.1790	1.6372	124.85	37.467	464.00	162.79	9.0731	12.823	0.036509
125.00	3.2069	426.08	0.0023470	-0.031475	0.17937	113.10	34.680	468.31	195.48	3.5308	26.935	0.056435	8.6947e-05	205.18	0.0048737	1.1039	1.5417	124.00	39.278	665.12	160.26	8.6030	13.326	0.041535
