#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
158.50	1.4983	339.77	0.0029432	2.7889	2.8597	20.831	30.561	69.980	814.91	0.10716	47.857	0.11707	0.0043430	23.789	0.042036	7.9284	8.9388	59.185	29.430	53.276	283.66	16.484	6.2517	0.020713
159.00	1.5291	338.63	0.0029531	2.8221	2.8945	21.041	30.554	70.360	808.45	0.12052	47.415	0.11636	0.0042604	24.310	0.041136	7.9293	8.9385	59.053	29.497	53.783	283.45	16.408	6.2795	0.020872
159.50	1.5604	337.48	0.0029632	2.8553	2.9295	21.252	30.547	70.752	801.96	0.13425	46.976	0.11564	0.0041780	24.840	0.040257	7.9301	8.9378	58.921	29.566	54.307	283.23	16.331	6.3077	0.021033
160.00	1.5921	336.31	0.0029734	2.8887	2.9647	21.462	30.541	71.156	795.43	0.14836	46.541	0.11493	0.0040959	25.382	0.039398	7.9306	8.9369	58.789	29.636	54.849	283.01	16.255	6.3362	0.021197
160.50	1.6242	335.14	0.0029838	2.9222	3.0000	21.673	30.536	71.574	788.88	0.16285	46.109	0.11421	0.0040141	25.934	0.038559	7.9310	8.9357	58.656	29.707	55.410	282.78	16.178	6.3652	0.021364
161.00	1.6569	333.96	0.0029943	2.9559	3.0355	21.884	30.532	72.005	782.30	0.17776	45.680	0.11350	0.0039326	26.498	0.037739	7.9311	8.9342	58.522	29.779	55.991	282.54	16.103	6.3945	0.021534
161.50	1.6900	332.77	0.0030051	2.9897	3.0712	22.095	30.529	72.451	775.68	0.19310	45.254	0.11278	0.0038514	27.073	0.036938	7.9310	8.9325	58.388	29.853	56.593	282.29	16.027	6.4243	0.021707
162.00	1.7235	331.57	0.0030160	3.0236	3.1070	22.307	30.526	72.912	769.03	0.20888	44.832	0.11206	0.0037705	27.660	0.036154	7.9307	8.9304	58.254	29.928	57.217	282.03	15.951	6.4546	0.021884
162.50	1.7576	330.35	0.0030271	3.0577	3.1430	22.519	30.524	73.389	762.35	0.22512	44.413	0.11134	0.0036898	28.259	0.035388	7.9301	8.9280	58.118	30.005	57.864	281.76	15.876	6.4852	0.022063
163.00	1.7921	329.13	0.0030384	3.0919	3.1793	22.731	30.524	73.882	755.64	0.24184	43.996	0.11062	0.0036094	28.870	0.034638	7.9294	8.9252	57.982	30.083	58.536	281.49	15.801	6.5164	0.022247
163.50	1.8271	327.89	0.0030498	3.1263	3.2157	22.944	30.524	74.394	748.89	0.25906	43.583	0.10990	0.0035294	29.494	0.033905	7.9283	8.9222	57.846	30.163	59.233	281.20	15.726	6.5481	0.022434
164.00	1.8626	326.64	0.0030615	3.1608	3.2523	23.157	30.525	74.924	742.10	0.27681	43.172	0.10918	0.0034496	30.132	0.033187	7.9271	8.9188	57.708	30.244	59.958	280.91	15.650	6.5803	0.022625
164.50	1.8986	325.37	0.0030734	3.1955	3.2891	23.370	30.527	75.473	735.28	0.29511	42.764	0.10846	0.0033702	30.783	0.032485	7.9256	8.9150	57.570	30.328	60.712	280.61	15.575	6.6131	0.022820
165.00	1.9351	324.10	0.0030855	3.2304	3.3262	23.584	30.531	76.044	728.42	0.31398	42.359	0.10774	0.0032911	31.448	0.031798	7.9238	8.9109	57.431	30.412	61.496	280.30	15.500	6.6464	0.023020
165.50	1.9721	322.81	0.0030978	3.2654	3.3634	23.798	30.535	76.636	721.53	0.33345	41.956	0.10702	0.0032123	32.128	0.031126	7.9217	8.9065	57.291	30.499	62.313	279.97	15.424	6.6803	0.023224
166.00	2.0096	321.50	0.0031104	3.3006	3.4009	24.013	30.541	77.252	714.59	0.35354	41.556	0.10629	0.0031338	32.822	0.030467	7.9194	8.9017	57.150	30.588	63.165	279.65	15.349	6.7148	0.023433
166.50	2.0476	320.18	0.0031232	3.3360	3.4386	24.229	30.548	77.893	707.61	0.37429	41.158	0.10557	0.0030557	33.532	0.029823	7.9168	8.8965	57.009	30.678	64.053	279.31	15.273	6.7500	0.023647
167.00	2.0861	318.85	0.0031363	3.3716	3.4766	24.445	30.556	78.560	700.59	0.39573	40.763	0.10484	0.0029779	34.257	0.029191	7.9139	8.8908	56.866	30.771	64.980	278.96	15.197	6.7859	0.023866
167.50	2.1252	317.50	0.0031496	3.4074	3.5148	24.661	30.565	79.255	693.53	0.41789	40.369	0.10411	0.0029004	34.999	0.028572	7.9107	8.8848	56.721	30.865	65.949	278.60	15.121	6.8225	0.024091
168.00	2.1647	316.14	0.0031632	3.4434	3.5532	24.879	30.576	79.979	686.42	0.44080	39.978	0.10338	0.0028233	35.758	0.027966	7.9072	8.8784	56.576	30.962	66.963	278.23	15.044	6.8598	0.024322
168.50	2.2048	314.75	0.0031771	3.4796	3.5919	25.097	30.588	80.736	679.27	0.46452	39.589	0.10265	0.0027466	36.534	0.027372	7.9034	8.8715	56.430	31.061	68.024	277.86	14.967	6.8980	0.024559
169.00	2.2455	313.35	0.0031913	3.5160	3.6309	25.315	30.602	81.526	672.07	0.48907	39.201	0.10192	0.0026702	37.328	0.026789	7.8992	8.8642	56.282	31.163	69.136	277.47	14.889	6.9369	0.024803
169.50	2.2866	311.94	0.0032058	3.5526	3.6702	25.535	30.617	82.353	664.82	0.51450	38.816	0.10119	0.0025942	38.141	0.026218	7.8947	8.8565	56.132	31.267	70.302	277.07	14.811	6.9767	0.025055
