#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
292.00	0.012244	0.00037919	-3.8658	-3.8644	-12.263	792.00	0.0012626	-3.8792	-3.8787	-12.312	66.438	80.042	1119.4	-0.33095	595.18	0.20134	0.16511	6.0565	31.500	33.876	116.99	91.135	111.26	294.02	1063.2	9.4293	0.014599
294.00	0.013641	0.00041945	-3.7040	-3.7025	-11.711	790.13	0.0012656	-3.7188	-3.7182	-11.765	66.788	80.415	1112.9	-0.32848	577.60	0.20096	0.18288	5.4682	31.551	33.941	116.33	92.285	112.83	294.81	975.80	9.4916	0.014770
296.00	0.015173	0.00046327	-3.5413	-3.5396	-11.159	788.26	0.0012686	-3.5576	-3.5570	-11.218	67.143	80.796	1106.4	-0.32595	560.76	0.20058	0.20224	4.9446	31.601	34.005	115.68	93.409	114.37	295.60	896.68	9.5538	0.014942
298.00	0.016849	0.00051089	-3.3778	-3.3758	-10.609	786.38	0.0012716	-3.3957	-3.3950	-10.673	67.501	81.186	1099.9	-0.32337	544.61	0.20020	0.22332	4.4779	31.652	34.070	115.05	94.508	115.90	296.38	824.99	9.6160	0.015116
300.00	0.018682	0.00056257	-3.2133	-3.2111	-10.058	784.51	0.0012747	-3.2329	-3.2322	-10.129	67.864	81.584	1093.5	-0.32073	529.12	0.19982	0.24623	4.0613	31.703	34.134	114.42	95.581	117.40	297.15	759.96	9.6780	0.015292
302.00	0.020683	0.00061859	-3.0478	-3.0455	-9.5089	782.63	0.0012777	-3.0694	-3.0685	-9.5852	68.230	81.989	1087.1	-0.31803	514.25	0.19944	0.27110	3.6887	31.753	34.198	113.81	96.627	118.88	297.91	700.90	9.7400	0.015470
304.00	0.022864	0.00067921	-2.8814	-2.8788	-8.9597	780.75	0.0012808	-2.9050	-2.9041	-9.0428	68.600	82.403	1080.8	-0.31527	499.98	0.19906	0.29806	3.3550	31.803	34.261	113.21	97.647	120.33	298.67	647.21	9.8018	0.015649
306.00	0.025238	0.00074475	-2.7141	-2.7112	-8.4109	778.86	0.0012839	-2.7398	-2.7388	-8.5012	68.973	82.825	1074.5	-0.31245	486.27	0.19868	0.32725	3.0557	31.853	34.325	112.62	98.640	121.77	299.41	598.34	9.8635	0.015830
308.00	0.027819	0.00081550	-2.5457	-2.5425	-7.8624	776.98	0.0012870	-2.5738	-2.5726	-7.9603	69.350	83.255	1068.2	-0.30958	473.09	0.19830	0.35882	2.7869	31.903	34.388	112.04	99.607	123.19	300.14	553.81	9.9251	0.016013
310.00	0.030621	0.00089178	-2.3763	-2.3728	-7.3141	775.08	0.0012902	-2.4069	-2.4056	-7.4202	69.730	83.693	1061.9	-0.30664	460.43	0.19792	0.39291	2.5451	31.953	34.450	111.47	100.55	124.58	300.87	513.19	9.9865	0.016198
